player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season,player_id,min,off_rating,def_rating,nationality,player_origin,seasons_played,composite_score,rank
Chris Duarte,SAC,59.0,8.4,0.512,14.9,0.047,-3.4,-0.2,2023-24,1630537.0,12.2,110.4,113.5,Dominican Republic,International,2,0.5752096117530032,255
Chris Paul,PHX,65.0,20.8,0.581,19.7,0.21,5.4,4.0,2021-22,101108.0,32.9,115.6,105.5,USA,USA,3,0.6667352320391855,35
Chris Paul,PHX,59.0,17.7,0.555,19.2,0.156,3.2,2.5,2022-23,101108.0,32.0,114.9,112.5,USA,USA,3,0.655871568065103,75
Chris Paul,GSW,58.0,14.7,0.544,15.6,0.136,1.0,1.2,2023-24,101108.0,26.4,113.7,111.0,USA,USA,3,0.6168839858272674,170
Christian Braun,DEN,76.0,10.3,0.568,13.0,0.079,-2.4,-0.1,2022-23,1631128.0,15.5,107.0,111.3,USA,USA,2,0.5756511654533946,270
Christian Braun,DEN,82.0,12.1,0.554,15.7,0.1,-1.9,0.0,2023-24,1631128.0,20.2,110.0,109.3,USA,USA,2,0.5875549270723599,231
Christian Wood,HOU,68.0,19.1,0.595,23.3,0.112,1.6,1.9,2021-22,1626174.0,30.8,106.6,115.7,USA,USA,3,0.6637536615622452,42
Christian Wood,DAL,67.0,20.6,0.624,26.4,0.132,1.7,1.6,2022-23,1626174.0,25.9,115.4,116.7,USA,USA,3,0.6967838235694496,27
Christian Wood,LAL,50.0,12.3,0.568,17.6,0.064,-2.8,-0.2,2023-24,1626174.0,17.4,109.9,109.9,USA,USA,3,0.5904521461571758,227
Clint Capela,ATL,74.0,21.4,0.604,15.5,0.195,2.0,2.1,2021-22,203991.0,27.6,116.6,113.3,Switzerland,International,3,0.6621146618537611,45
Clint Capela,ATL,65.0,22.1,0.656,15.7,0.201,2.2,1.8,2022-23,203991.0,26.6,115.3,116.4,Switzerland,International,3,0.6785692315934496,39
Clint Capela,ATL,73.0,20.7,0.59,17.3,0.161,0.1,1.0,2023-24,203991.0,25.8,115.5,115.6,Switzerland,International,3,0.6555403870252843,78
Coby White,CHI,61.0,12.6,0.564,19.8,0.067,-2.1,0.0,2021-22,1629632.0,27.5,112.3,113.6,USA,USA,3,0.6148171994069949,139
Coby White,CHI,74.0,12.5,0.572,17.9,0.087,-0.8,0.5,2022-23,1629632.0,23.4,114.0,110.1,USA,USA,3,0.6093772479026688,195
Coby White,CHI,79.0,14.5,0.57,22.7,0.078,-0.7,0.9,2023-24,1629632.0,36.5,115.0,115.8,USA,USA,3,0.6481263519966368,99
Cole Anthony,ORL,65.0,13.5,0.519,25.1,0.038,-1.2,0.4,2021-22,1630175.0,31.7,105.7,111.1,USA,USA,3,0.6104337687047298,159
Cole Anthony,ORL,60.0,16.0,0.57,21.5,0.116,1.3,1.3,2022-23,1630175.0,25.9,112.4,112.5,USA,USA,3,0.6437249204956733,104
Cole Anthony,ORL,81.0,14.6,0.545,23.7,0.096,0.1,1.0,2023-24,1630175.0,22.4,112.6,110.0,USA,USA,3,0.6313922422719,135
Collin Sexton,CLE,11.0,11.2,0.523,27.9,-0.009,-4.1,-0.2,2021-22,1629012.0,28.8,99.2,105.0,USA,USA,2,0.5751024132830933,235
Collin Sexton,UTA,48.0,15.9,0.616,23.4,0.105,-1.3,0.2,2022-23,1629012.0,23.9,116.4,116.3,USA,USA,2,0.6612536159258454,66
Collin Sexton,UTA,78.0,19.9,0.607,27.5,0.127,1.9,2.0,2023-24,1629012.0,26.6,117.0,120.4,USA,USA,2,0.7123481021259549,20
Corey Kispert,WAS,77.0,10.9,0.586,14.6,0.061,-2.3,-0.1,2021-22,1630557.0,23.4,113.0,112.9,USA,USA,3,0.595382347398384,197
Corey Kispert,WAS,74.0,11.5,0.657,14.1,0.088,-1.5,0.2,2022-23,1630557.0,28.3,112.4,115.6,USA,USA,3,0.6198035591282337,170
Corey Kispert,WAS,80.0,12.8,0.62,19.6,0.048,-2.1,-0.1,2023-24,1630557.0,25.8,108.7,119.4,USA,USA,3,0.6323785833426546,131
Cory Joseph,DET,65.0,11.4,0.579,14.3,0.075,-2.1,0.0,2021-22,202709.0,24.6,105.3,111.7,Canada,International,2,0.5827830994537166,218
Cory Joseph,DET,62.0,12.1,0.558,15.2,0.07,-1.5,0.2,2022-23,202709.0,19.8,109.7,113.8,Canada,International,2,0.5974173817433481,233
Cory Joseph,GSW,26.0,6.2,0.47,11.3,0.034,-4.7,-0.2,2023-24,202709.0,11.4,114.2,117.2,Canada,International,2,0.5659171049634178,266
DAngelo Russell,MIN,65.0,16.3,0.544,25.1,0.101,0.8,1.4,2021-22,1626156.0,31.9,114.5,109.8,USA,USA,3,0.6448098728755369,69
DAngelo Russell,LAL,71.0,16.3,0.605,22.7,0.106,1.5,2.0,2022-23,1626156.0,32.5,113.6,112.1,USA,USA,3,0.6576378250819158,73
DAngelo Russell,LAL,76.0,16.0,0.588,23.0,0.099,0.9,1.8,2023-24,1626156.0,32.7,116.5,113.9,USA,USA,3,0.6617300309915259,67
Damian Lillard,POR,29.0,18.5,0.55,29.3,0.079,1.3,0.9,2021-22,203081.0,36.4,113.0,114.8,USA,USA,2,0.6704493311305052,29
Damian Lillard,POR,58.0,26.7,0.645,33.8,0.205,7.1,4.9,2022-23,203081.0,36.3,119.5,117.4,USA,USA,2,0.7814983038319575,4
Damian Lillard,MIL,73.0,19.6,0.59,28.4,0.143,2.1,2.7,2023-24,203081.0,35.3,119.4,112.4,USA,USA,2,0.6986766718145094,30
Damion Lee,GSW,63.0,10.9,0.561,15.8,0.102,-2.0,0.0,2021-22,1627814.0,19.9,109.3,106.5,USA,USA,2,0.5779839578176358,231
Damion Lee,PHX,74.0,10.7,0.607,16.3,0.081,-1.7,0.1,2022-23,1627814.0,20.4,110.1,107.3,USA,USA,2,0.5882618443407254,247
Daniel Gafford,WAS,72.0,21.8,0.708,16.7,0.198,1.6,1.3,2021-22,1629655.0,20.1,108.6,115.5,USA,USA,3,0.6730977172299335,27
Daniel Gafford,WAS,78.0,19.7,0.739,15.2,0.184,1.0,1.2,2022-23,1629655.0,20.6,111.7,114.3,USA,USA,3,0.6669594116853514,55
Daniel Gafford,DAL,74.0,21.7,0.731,14.7,0.205,2.6,2.1,2023-24,1629655.0,24.5,113.9,116.0,USA,USA,3,0.6863248687789746,37
Daniel Theis,BOS,47.0,13.2,0.595,16.2,0.093,-2.1,0.0,2021-22,1628464.0,20.8,104.4,108.4,Germany,International,2,0.5856175542065656,211
Daniel Theis,IND,7.0,14.2,0.497,20.1,0.046,-1.4,0.0,2022-23,1628464.0,15.5,107.3,115.5,Germany,International,2,0.6048054484601453,211
Daniel Theis,LAC,60.0,14.4,0.597,15.4,0.119,-1.6,0.1,2023-24,1628464.0,16.9,115.6,113.2,Germany,International,2,0.6196789739630498,163
Darius Garland,CLE,68.0,19.0,0.576,27.8,0.125,2.6,2.8,2021-22,1629636.0,35.7,113.6,106.9,USA,USA,3,0.6681414183568843,34
