player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season,player_id,min,off_rating,def_rating,nationality,player_origin,seasons_played,composite_score
Caris LeVert,CLE,68,14.6,0.524,23.1,0.088,0.2,1.1,2023-24,1627747,28.8,113.9,111.2,USA,USA,3,0.4253
Cedi Osman,CLE,66,13.3,0.563,21.1,0.094,0.2,0.8,2021-22,1626224,22.1,107.5,109.2,Turkey,International,3,0.3728
Cedi Osman,CLE,77,12.0,0.579,18.2,0.103,-0.7,0.5,2022-23,1626224,20.1,115.4,108.0,Turkey,International,3,0.3817
Cedi Osman,SAS,72,11.2,0.601,15.1,0.071,-2.1,0.0,2023-24,1626224,17.6,106.0,119.2,Turkey,International,3,0.4665
Chimezie Metu,SAC,60,13.4,0.546,18.5,0.056,-1.5,0.2,2021-22,1629002,21.3,106.1,111.8,USA,USA,2,0.3638
Chimezie Metu,DET,51,13.3,0.61,16.2,0.085,-1.3,0.2,2023-24,1629002,16.8,105.5,112.0,USA,USA,2,0.3893
Chris Boucher,TOR,80,17.9,0.57,17.8,0.169,0.1,0.9,2021-22,1628449,21.1,111.0,105.7,Saint Lucia,International,2,0.3696
Chris Boucher,TOR,76,18.0,0.59,18.0,0.156,-0.1,0.7,2022-23,1628449,20.0,110.4,111.6,Saint Lucia,International,2,0.4491
Chris Duarte,IND,55,12.3,0.537,21.1,0.029,-2.3,-0.1,2021-22,1630537,28.0,107.6,109.7,Dominican Republic,International,2,0.3313
Chris Duarte,IND,46,8.6,0.496,19.0,-0.003,-4.5,-0.6,2022-23,1630537,19.5,109.4,115.6,Dominican Republic,International,2,0.3634
Chris Paul,PHX,65,20.8,0.581,19.7,0.21,5.4,4.0,2021-22,101108,32.9,115.6,105.5,USA,USA,3,0.4613
Chris Paul,PHX,59,17.7,0.555,19.2,0.156,3.2,2.5,2022-23,101108,32.0,114.9,112.5,USA,USA,3,0.4966
Chris Paul,GSW,58,14.7,0.544,15.6,0.136,1.0,1.2,2023-24,101108,26.4,113.7,111.0,USA,USA,3,0.4216
Christian Braun,DEN,76,10.3,0.568,13.0,0.079,-2.4,-0.1,2022-23,1631128,15.5,107.0,111.3,USA,USA,2,0.3424
Christian Braun,DEN,82,12.1,0.554,15.7,0.1,-1.9,0.0,2023-24,1631128,20.2,110.0,109.3,USA,USA,2,0.3478
Christian Wood,HOU,68,19.1,0.595,23.3,0.112,1.6,1.9,2021-22,1626174,30.8,106.6,115.7,USA,USA,3,0.512
Christian Wood,DAL,67,20.6,0.624,26.4,0.132,1.7,1.6,2022-23,1626174,25.9,115.4,116.7,USA,USA,3,0.5966
Christian Wood,LAL,50,12.3,0.568,17.6,0.064,-2.8,-0.2,2023-24,1626174,17.4,109.9,109.9,USA,USA,3,0.352
Clint Capela,ATL,74,21.4,0.604,15.5,0.195,2.0,2.1,2021-22,203991,27.6,116.6,113.3,Switzerland,International,3,0.5363
Clint Capela,ATL,65,22.1,0.656,15.7,0.201,2.2,1.8,2022-23,203991,26.6,115.3,116.4,Switzerland,International,3,0.5954
Clint Capela,ATL,73,20.7,0.59,17.3,0.161,0.1,1.0,2023-24,203991,25.8,115.5,115.6,Switzerland,International,3,0.5361
Coby White,CHI,61,12.6,0.564,19.8,0.067,-2.1,0.0,2021-22,1629632,27.5,112.3,113.6,USA,USA,3,0.4251
Coby White,CHI,74,12.5,0.572,17.9,0.087,-0.8,0.5,2022-23,1629632,23.4,114.0,110.1,USA,USA,3,0.3961
Coby White,CHI,79,14.5,0.57,22.7,0.078,-0.7,0.9,2023-24,1629632,36.5,115.0,115.8,USA,USA,3,0.5002
Cole Anthony,ORL,65,13.5,0.519,25.1,0.038,-1.2,0.4,2021-22,1630175,31.7,105.7,111.1,USA,USA,3,0.3629
Cole Anthony,ORL,60,16.0,0.57,21.5,0.116,1.3,1.3,2022-23,1630175,25.9,112.4,112.5,USA,USA,3,0.4662
Cole Anthony,ORL,81,14.6,0.545,23.7,0.096,0.1,1.0,2023-24,1630175,22.4,112.6,110.0,USA,USA,3,0.4147
Collin Sexton,UTA,48,15.9,0.616,23.4,0.105,-1.3,0.2,2022-23,1629012,23.9,116.4,116.3,USA,USA,2,0.5388
Collin Sexton,UTA,78,19.9,0.607,27.5,0.127,1.9,2.0,2023-24,1629012,26.6,117.0,120.4,USA,USA,2,0.6512
Corey Kispert,WAS,77,10.9,0.586,14.6,0.061,-2.3,-0.1,2021-22,1630557,23.4,113.0,112.9,USA,USA,3,0.4003
Corey Kispert,WAS,74,11.5,0.657,14.1,0.088,-1.5,0.2,2022-23,1630557,28.3,112.4,115.6,USA,USA,3,0.4745
Corey Kispert,WAS,80,12.8,0.62,19.6,0.048,-2.1,-0.1,2023-24,1630557,25.8,108.7,119.4,USA,USA,3,0.5016
Cory Joseph,DET,65,11.4,0.579,14.3,0.075,-2.1,0.0,2021-22,202709,24.6,105.3,111.7,Canada,International,2,0.3527
Cory Joseph,DET,62,12.1,0.558,15.2,0.07,-1.5,0.2,2022-23,202709,19.8,109.7,113.8,Canada,International,2,0.4005
DAngelo Russell,MIN,65,16.3,0.544,25.1,0.101,0.8,1.4,2021-22,1626156,31.9,114.5,109.8,USA,USA,3,0.4372
DAngelo Russell,LAL,71,16.3,0.605,22.7,0.106,1.5,2.0,2022-23,1626156,32.5,113.6,112.1,USA,USA,3,0.487
DAngelo Russell,LAL,76,16.0,0.588,23.0,0.099,0.9,1.8,2023-24,1626156,32.7,116.5,113.9,USA,USA,3,0.5124
Damian Lillard,POR,58,26.7,0.645,33.8,0.205,7.1,4.9,2022-23,203081,36.3,119.5,117.4,USA,USA,2,0.7427
Damian Lillard,MIL,73,19.6,0.59,28.4,0.143,2.1,2.7,2023-24,203081,35.3,119.4,112.4,USA,USA,2,0.5603
Damion Lee,GSW,63,10.9,0.561,15.8,0.102,-2.0,0.0,2021-22,1627814,19.9,109.3,106.5,USA,USA,2,0.3065
Damion Lee,PHX,74,10.7,0.607,16.3,0.081,-1.7,0.1,2022-23,1627814,20.4,110.1,107.3,USA,USA,2,0.3348
Daniel Gafford,WAS,72,21.8,0.708,16.7,0.198,1.6,1.3,2021-22,1629655,20.1,108.6,115.5,USA,USA,3,0.5685
Daniel Gafford,WAS,78,19.7,0.739,15.2,0.184,1.0,1.2,2022-23,1629655,20.6,111.7,114.3,USA,USA,3,0.5592
Daniel Gafford,DAL,74,21.7,0.731,14.7,0.205,2.6,2.1,2023-24,1629655,24.5,113.9,116.0,USA,USA,3,0.612
Daniel Theis,BOS,47,13.2,0.595,16.2,0.093,-2.1,0.0,2021-22,1628464,20.8,104.4,108.4,Germany,International,2,0.3277
Daniel Theis,LAC,60,14.4,0.597,15.4,0.119,-1.6,0.1,2023-24,1628464,16.9,115.6,113.2,Germany,International,2,0.4557
Darius Garland,CLE,68,19.0,0.576,27.8,0.125,2.6,2.8,2021-22,1629636,35.7,113.6,106.9,USA,USA,3,0.4474
Darius Garland,CLE,69,18.8,0.587,26.9,0.148,2.4,2.7,2022-23,1629636,35.5,116.9,108.8,USA,USA,3,0.4942
Darius Garland,CLE,57,14.5,0.56,25.3,0.067,-1.0,0.5,2023-24,1629636,33.3,113.5,111.4,USA,USA,3,0.4321
David Roddy,MEM,70,8.8,0.519,16.7,0.043,-3.9,-0.6,2022-23,1631223,18.0,110.6,112.5,USA,USA,2,0.3447
