player,headshot_url,flag_url
Davion Mitchell,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/davion_mitchell.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Davis Bertans,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/davis_bertans.png,https://www.worldometers.info//img/flags/small/tn_lg-flag.gif
DayRon Sharpe,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dayron_sharpe.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
DeAaron Fox,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/deaaron_fox.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
DeAndre Hunter,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/deandre_hunter.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
DeAnthony Melton,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/deanthony_melton.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
DeAndre Jordan,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/deandre_jordan.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
DeJon Jarreau,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dejon_jarreau.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
DeMar DeRozan,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/demar_derozan.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Dean Wade,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dean_wade.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Deandre Ayton,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/deandre_ayton.png,
Dejounte Murray,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dejounte_murray.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Delon Wright,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/delon_wright.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Deni Avdija,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/deni_avdija.png,https://www.worldometers.info//img/flags/small/tn_is-flag.gif
Dennis Schroder,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dennis_schroder.png,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Dennis Smith Jr,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dennis_smith_jr.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
