player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season,player_id,min,off_rating,def_rating,nationality
Brandon Clarke,MEM,56.0,20.0,0.682,17.7,0.199,2.5,1.3,2022-23,1629634.0,19.5,109.0,108.3,Canada
Brandon Clarke,MEM,6.0,18.9,0.548,20.8,0.108,1.0,0.1,2023-24,1629634.0,22.4,100.7,104.6,Canada
Brandon Ingram,NOP,55.0,18.7,0.554,29.3,0.099,2.0,1.9,2021-22,1627742.0,34.0,112.7,109.4,USA
Brandon Ingram,NOP,45.0,19.2,0.582,30.8,0.108,1.7,1.5,2022-23,1627742.0,34.2,115.5,112.5,USA
Brandon Ingram,NOP,64.0,18.2,0.578,27.2,0.117,1.2,1.7,2023-24,1627742.0,32.9,116.6,112.6,USA
Brandon Williams,POR,24.0,11.0,0.476,25.9,-0.037,-5.7,-0.6,2021-22,1630314.0,26.7,101.2,121.6,USA
Brandon Williams,DAL,17.0,9.3,0.439,26.0,-0.044,-5.5,-0.1,2023-24,1630314.0,6.6,91.9,113.6,USA
Braxton Key,DET,11.0,13.7,0.508,19.4,0.052,-3.3,-0.1,2021-22,1630296.0,17.9,113.2,105.2,USA
Braxton Key,DET,3.0,18.6,1.064,8.9,0.242,2.9,0.0,2022-23,1630296.0,3.0,100.0,104.5,USA
Braxton Key,DEN,20.0,16.5,0.536,15.7,0.18,2.1,0.1,2023-24,1630296.0,3.0,95.5,103.8,USA
Brook Lopez,MIL,13.0,16.0,0.57,21.9,0.108,-1.3,0.1,2021-22,201572.0,23.0,110.2,111.6,USA
Brook Lopez,MIL,78.0,18.4,0.63,19.3,0.161,2.1,2.5,2022-23,201572.0,30.4,113.7,106.6,USA
Brook Lopez,MIL,79.0,14.8,0.608,16.0,0.117,1.0,1.8,2023-24,201572.0,30.5,117.1,111.9,USA
Bruce Brown,BKN,72.0,15.0,0.575,15.0,0.13,0.7,1.2,2021-22,1628971.0,24.6,111.7,112.0,USA
Bruce Brown,DEN,80.0,13.3,0.571,17.8,0.09,-0.5,0.9,2022-23,1628971.0,28.5,113.8,113.0,USA
Bruce Brown,TOR,67.0,11.6,0.563,16.5,0.058,-3.3,-0.6,2023-24,1628971.0,27.8,115.6,121.4,USA
Bruno Fernando,HOU,30.0,21.2,0.671,22.4,0.14,-0.1,0.1,2021-22,1628981.0,5.1,100.0,110.1,Angola
Bruno Fernando,ATL,39.0,16.6,0.571,16.3,0.109,-2.0,0.0,2022-23,1628981.0,10.4,105.1,114.0,Angola
Bruno Fernando,ATL,45.0,15.2,0.615,16.7,0.103,-2.3,-0.1,2023-24,1628981.0,15.2,107.5,113.9,Angola
Bryce McGowens,CHA,46.0,7.2,0.519,15.0,0.005,-6.0,-0.8,2022-23,1631121.0,17.1,102.6,112.3,USA
Bryce McGowens,CHA,59.0,9.3,0.565,14.9,0.034,-4.9,-0.6,2023-24,1631121.0,14.9,103.3,116.3,USA
Bryn Forbes,DEN,75.0,11.5,0.574,21.2,0.054,-2.9,-0.3,2021-22,1627854.0,17.1,109.3,109.8,USA
Bryn Forbes,MIN,25.0,6.2,0.497,16.2,0.0,-6.3,-0.3,2022-23,1627854.0,10.7,107.8,116.2,USA
Buddy Boeheim,DET,10.0,0.5,0.287,13.2,-0.091,-9.5,-0.2,2022-23,1631205.0,9.0,105.9,103.2,USA
Buddy Boeheim,DET,10.0,9.1,0.509,17.0,0.047,-3.5,0.0,2023-24,1631205.0,8.4,114.2,104.0,USA
Buddy Hield,IND,81.0,12.9,0.548,22.4,0.036,-1.2,0.5,2021-22,1627741.0,30.8,111.4,115.1,Bahamas
Buddy Hield,IND,80.0,15.4,0.614,20.8,0.085,1.9,2.4,2022-23,1627741.0,31.0,114.4,116.3,Bahamas
Buddy Hield,PHI,84.0,13.3,0.578,19.2,0.077,0.4,1.3,2023-24,1627741.0,25.7,116.9,115.7,Bahamas
CJ McCollum,NOP,62.0,18.3,0.553,27.5,0.081,1.9,2.1,2021-22,203468.0,34.6,112.1,114.0,USA
CJ McCollum,NOP,75.0,15.6,0.541,26.4,0.078,0.8,1.9,2022-23,203468.0,35.3,114.5,113.5,USA
CJ McCollum,NOP,66.0,17.9,0.592,24.7,0.132,3.1,2.8,2023-24,203468.0,32.7,115.9,112.2,USA
Cade Cunningham,DET,64.0,13.1,0.504,27.5,-0.011,-1.6,0.2,2021-22,1630595.0,32.6,106.9,113.1,USA
Cade Cunningham,DET,12.0,14.0,0.492,30.0,-0.018,-0.7,0.1,2022-23,1630595.0,33.3,111.2,117.3,USA
Cade Cunningham,DET,62.0,17.1,0.546,30.8,0.041,0.3,1.2,2023-24,1630595.0,33.5,109.9,117.8,USA
