player_id,player,team,games_played,min,off_rating,def_rating,season
1628995,Kevin Knox II,DET,31,18.1,109.4,117.2,2023-24
201567,Kevin Love,MIA,55,16.8,114.7,108.2,2023-24
1630284,Kevon Harris,ORL,2,3.0,142.9,133.3,2023-24
1626172,Kevon Looney,GSW,74,16.1,115.4,114.0,2023-24
1641749,Keyontae Johnson,OKC,9,7.4,100.0,105.8,2023-24
1641718,Keyonte George,UTA,75,27.0,109.6,118.9,2023-24
203114,Khris Middleton,MIL,55,27.0,118.0,114.6,2023-24
1630165,Killian Hayes,DET,42,24.0,106.5,117.6,2023-24
1630184,Kira Lewis Jr.,UTA,28,9.4,99.6,111.1,2023-24
202691,Klay Thompson,GSW,77,29.7,115.8,116.1,2023-24
1641738,Kobe Brown,LAC,44,9.0,105.7,116.2,2023-24
1641723,Kobe Bufkin,ATL,17,11.5,97.1,105.0,2023-24
1628424,Kobi Simmons,TOR,4,16.9,94.2,116.5,2023-24
1627739,Kris Dunn,UTA,66,18.9,117.6,117.2,2023-24
1631200,Kris Murray,POR,62,21.7,106.1,112.1,2023-24
204001,Kristaps Porziņģis,BOS,57,29.6,120.8,109.6,2023-24
203937,Kyle Anderson,MIN,79,22.6,110.1,105.1,2023-24
1628398,Kyle Kuzma,WAS,70,32.6,109.7,120.8,2023-24
200768,Kyle Lowry,PHI,60,28.2,111.4,111.6,2023-24
202681,Kyrie Irving,DAL,58,35.0,119.6,112.6,2023-24
1630163,LaMelo Ball,CHA,22,32.3,111.8,120.2,2023-24
1630205,Lamar Stevens,MEM,38,14.7,105.3,104.0,2023-24
1629013,Landry Shamet,WAS,46,15.8,109.3,119.2,2023-24
1626204,Larry Nance Jr.,NOP,61,19.9,111.7,108.4,2023-24
1628374,Lauri Markkanen,UTA,55,33.1,117.6,116.9,2023-24
2544,LeBron James,LAL,71,35.3,117.4,113.6,2023-24
1641778,Leaky Black,CHA,26,10.9,105.1,109.2,2023-24
1631159,Leonard Miller,MIN,17,3.1,104.9,101.7,2023-24
1631311,Lester Quinones,GSW,37,10.7,109.6,109.0,2023-24
1629623,Lindell Wigginton,MIL,3,2.5,64.7,131.3,2023-24
1630322,Lindy Waters III,OKC,38,7.4,103.7,111.4,2023-24
1629022,Lonnie Walker IV,BKN,58,17.4,111.3,111.8,2023-24
1629652,Luguentz Dort,OKC,79,28.4,119.9,112.1,2023-24
1629029,Luka Dončić,DAL,70,37.5,119.6,113.8,2023-24
1630568,Luka Garza,MIN,25,4.9,107.9,108.5,2023-24
1629677,Luka Samanic,UTA,43,9.4,106.5,112.0,2023-24
1628379,Luke Kennard,MEM,39,25.6,106.4,115.2,2023-24
1628436,Luke Kornet,BOS,63,15.6,121.8,109.7,2023-24
1630201,Malachi Flynn,DET,69,12.7,104.8,114.6,2023-24
1631103,Malaki Branham,SAS,75,21.3,105.9,117.0,2023-24
1627763,Malcolm Brogdon,POR,39,28.7,110.7,114.5,2023-24
1630608,Malcolm Cazalon,DET,1,2.6,183.3,100.0,2023-24
1627736,Malik Beasley,MIL,79,29.6,118.3,112.6,2023-24
1628370,Malik Monk,SAC,72,26.0,115.2,115.1,2023-24
1642013,Malik Williams,TOR,7,15.2,93.2,118.1,2023-24
1629603,Mamadi Diakite,NYK,6,4.1,90.2,82.7,2023-24
1641970,Maozinha Pereira,MEM,7,17.4,99.2,96.5,2023-24
1630699,MarJon Beauchamp,MIL,48,12.7,113.5,114.5,2023-24
202694,Marcus Morris Sr.,CLE,49,16.7,110.7,114.6,2023-24
1631204,Marcus Sasser,DET,71,19.0,107.0,115.7,2023-24
203935,Marcus Smart,MEM,20,30.2,108.5,109.2,2023-24
